"time","data_type_code","geo_level_code","cell_value"
"2019-Q1","ASOLD","SO",388.333333333333
"2019-Q2","ASOLD","SO",398.333333333333
"2019-Q3","ASOLD","SO",404.333333333333
"2019-Q4","ASOLD","SO",404.333333333333
"2020-Q1","ASOLD","SO",383.666666666667
"2020-Q2","ASOLD","SO",415
"2020-Q3","ASOLD","SO",567
"2020-Q4","ASOLD","SO",538.666666666667
"2021-Q1","ASOLD","SO",530
"2021-Q2","ASOLD","SO",426.333333333333
"2021-Q3","ASOLD","SO",432.5
"2014-Q1","FORSALE","SO",101.333333333333
"2014-Q2","FORSALE","SO",104
"2014-Q3","FORSALE","SO",116
"2014-Q4","FORSALE","SO",119.333333333333
"2015-Q1","FORSALE","SO",111.333333333333
"2015-Q2","FORSALE","SO",112
"2015-Q3","FORSALE","SO",116
"2015-Q4","FORSALE","SO",121.333333333333
"2016-Q1","FORSALE","SO",126
"2016-Q2","FORSALE","SO",127
"2016-Q3","FORSALE","SO",125.333333333333
"2016-Q4","FORSALE","SO",131.333333333333
"2017-Q1","FORSALE","SO",137.666666666667
"2017-Q2","FORSALE","SO",143
"2017-Q3","FORSALE","SO",151.666666666667
"2017-Q4","FORSALE","SO",153.333333333333
"2018-Q1","FORSALE","SO",156.666666666667
"2018-Q2","FORSALE","SO",157.666666666667
"2018-Q3","FORSALE","SO",168.666666666667
"2018-Q4","FORSALE","SO",180
"2019-Q1","FORSALE","SO",182.666666666667
"2019-Q2","FORSALE","SO",179
"2019-Q3","FORSALE","SO",172.333333333333
"2019-Q4","FORSALE","SO",170.333333333333
"2020-Q1","FORSALE","SO",179
"2020-Q2","FORSALE","SO",173.333333333333
"2020-Q3","FORSALE","SO",161.333333333333
"2020-Q4","FORSALE","SO",165
"2021-Q1","FORSALE","SO",170
"2021-Q2","FORSALE","SO",188.666666666667
"2021-Q3","FORSALE","SO",222.5
"2014-Q1","SOLD","SO",21
"2014-Q2","SOLD","SO",21.3333333333333
"2014-Q3","SOLD","SO",19.6666666666667
"2014-Q4","SOLD","SO",19.3333333333333
"2015-Q1","SOLD","SO",25.6666666666667
"2015-Q2","SOLD","SO",26
"2015-Q3","SOLD","SO",22.3333333333333
"2015-Q4","SOLD","SO",21
"2016-Q1","SOLD","SO",25.6666666666667
"2016-Q2","SOLD","SO",29.3333333333333
"2016-Q3","SOLD","SO",27.6666666666667
"2016-Q4","SOLD","SO",23.3333333333333
"2017-Q1","SOLD","SO",29
"2017-Q2","SOLD","SO",31
"2017-Q3","SOLD","SO",26
"2017-Q4","SOLD","SO",26.6666666666667
"2018-Q1","SOLD","SO",30.6666666666667
"2018-Q2","SOLD","SO",33.3333333333333
"2018-Q3","SOLD","SO",27.3333333333333
"2018-Q4","SOLD","SO",25
"2019-Q1","SOLD","SO",33.3333333333333
"2019-Q2","SOLD","SO",36
"2019-Q3","SOLD","SO",34
"2019-Q4","SOLD","SO",29.6666666666667
"2020-Q1","SOLD","SO",33
"2020-Q2","SOLD","SO",38
"2020-Q3","SOLD","SO",47.6666666666667
"2020-Q4","SOLD","SO",39.6666666666667
"2021-Q1","SOLD","SO",45.3333333333333
"2021-Q2","SOLD","SO",37.6666666666667
"2021-Q3","SOLD","SO",37.5
"2014-Q1","ASOLD","WE",97.3333333333333
"2014-Q2","ASOLD","WE",102.666666666667
"2014-Q3","ASOLD","WE",115.666666666667
"2014-Q4","ASOLD","WE",123
"2015-Q1","ASOLD","WE",136
"2015-Q2","ASOLD","WE",126.333333333333
"2015-Q3","ASOLD","WE",123
"2015-Q4","ASOLD","WE",137
"2016-Q1","ASOLD","WE",130.666666666667
"2016-Q2","ASOLD","WE",141
"2016-Q3","ASOLD","WE",142.333333333333
"2016-Q4","ASOLD","WE",154.666666666667
"2017-Q1","ASOLD","WE",154.333333333333
"2017-Q2","ASOLD","WE",163.333333333333
"2017-Q3","ASOLD","WE",148.333333333333
"2017-Q4","ASOLD","WE",189.333333333333
"2018-Q1","ASOLD","WE",177
"2018-Q2","ASOLD","WE",158.666666666667
"2018-Q3","ASOLD","WE",159
"2018-Q4","ASOLD","WE",142
"2019-Q1","ASOLD","WE",182.666666666667
"2019-Q2","ASOLD","WE",179.333333333333
"2019-Q3","ASOLD","WE",169.333333333333
"2019-Q4","ASOLD","WE",198.333333333333
"2020-Q1","ASOLD","WE",203.666666666667
"2020-Q2","ASOLD","WE",179.333333333333
"2020-Q3","ASOLD","WE",257.666666666667
"2020-Q4","ASOLD","WE",241.333333333333
"2021-Q1","ASOLD","WE",209.333333333333
"2021-Q2","ASOLD","WE",183.333333333333
"2021-Q3","ASOLD","WE",213.5
"2014-Q1","FORSALE","WE",41.3333333333333
"2014-Q2","FORSALE","WE",44.6666666666667
"2014-Q3","FORSALE","WE",47.6666666666667
"2014-Q4","FORSALE","WE",47
"2015-Q1","FORSALE","WE",45.6666666666667
"2015-Q2","FORSALE","WE",48
"2015-Q3","FORSALE","WE",52.3333333333333
"2015-Q4","FORSALE","WE",55.3333333333333
"2016-Q1","FORSALE","WE",55.6666666666667
"2016-Q2","FORSALE","WE",56.6666666666667
