,RegionID,RegionName,StateName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,average
10,394404,"Boston, MA",MA,441000.0,433000.0,440000.0,450900.0,482000.0,490000.0,481900.0,480000.0,456120.0,450000.0,457500.0,465000.0,467327.0,469450.0,487000.0,507000.0,498663.0,510000.0,524600.0,530000.0,525000.0,510000.0,508000.0,515000.0,510000.0,518000.0,536000.0,560000.0,580000.0,610000.0,493156.9032258064
11,395057,"San Francisco, CA",CA,720000.0,780000.0,800000.0,850000.0,855000.0,852000.0,807250.0,800000.0,782000.0,830000.0,815000.0,800000.0,750300.0,765000.0,830000.0,844000.0,829500.0,860000.0,900000.0,905000.0,900000.0,900000.0,908000.0,875000.0,850000.0,905000.0,969000.0,1065000.0,1095000.0,1062000.0,848358.2903225806
12,394532,"Detroit, MI",MI,168000.0,172000.0,180000.0,180000.0,200000.0,200000.0,201000.0,200000.0,200000.0,191000.0,190000.0,189250.0,180900.0,180000.0,197000.0,205750.0,195000.0,209900.0,225000.0,217000.0,221000.0,215125.0,215000.0,212000.0,200000.0,195000.0,215000.0,224000.0,235000.0,242294.0,208088.74193548388
13,395025,"Riverside, CA",CA,360000.0,370000.0,375000.0,375750.0,375000.0,375000.0,379000.0,376000.0,379000.0,380000.0,384000.0,385000.0,380000.0,390000.0,395000.0,386500.0,394000.0,400000.0,410000.0,416750.0,425000.0,425700.0,430000.0,437000.0,435000.0,449500.0,465000.0,471000.0,481000.0,495000.0,406297.5806451613
14,394976,"Phoenix, AZ",AZ,275000.0,275000.0,276950.0,280000.0,288100.0,287000.0,287995.0,290000.0,292000.0,297000.0,295000.0,299000.0,297000.0,300000.0,305000.0,301000.0,300000.0,309900.0,316500.0,325000.0,330000.0,337800.0,335000.0,335000.0,345000.0,355000.0,365000.0,376000.0,395000.0,400000.0,318265.1935483871
15,395078,"Seattle, WA",WA,449950.0,478000.0,495000.0,490000.0,513000.0,503275.0,490000.0,492000.0,481000.0,490000.0,495000.0,510000.0,490000.0,519000.0,530000.0,525000.0,510712.0,540000.0,550000.0,555500.0,569995.0,560000.0,560000.0,549000.0,554000.0,569500.0,610000.0,630000.0,655000.0,675000.0,530161.6129032258
16,394865,"Minneapolis-St Paul, MN",MN,260000.0,263000.0,276000.0,276876.0,283452.0,286000.0,282000.0,285000.0,280000.0,279900.0,283000.0,280000.0,272000.0,280000.0,297000.0,300000.0,297000.0,301000.0,309138.0,314100.0,307000.0,310000.0,310000.0,305000.0,300000.0,308950.0,320875.0,337000.0,339400.0,350000.0,299630.8387096774
17,395056,"San Diego, CA",CA,575000.0,570000.0,580000.0,582500.0,580000.0,600000.0,590000.0,600000.0,580000.0,593000.0,608000.0,585000.0,600000.0,607250.0,605000.0,600000.0,599000.0,606000.0,640000.0,650000.0,658750.0,655000.0,656500.0,650000.0,653750.0,685000.0,705000.0,725000.0,746000.0,760000.0,620671.1612903225
18,395121,"St. Louis, MO",MO,175600.0,175000.0,180000.0,183000.0,195000.0,205000.0,196000.0,200000.0,187000.0,190000.0,190291.0,192500.0,186750.0,177366.0,190000.0,198070.0,208750.0,210000.0,214900.0,223000.0,213000.0,210000.0,210000.0,207500.0,202000.0,199900.0,209200.0,210501.0,225000.0,235000.0,206304.8064516129
19,395148,"Tampa, FL",FL,220000.0,225000.0,226000.0,225000.0,230000.0,238000.0,237000.0,237500.0,235000.0,235000.0,236500.0,245000.0,234000.0,235000.0,240000.0,247500.0,247950.0,252960.0,256000.0,261950.0,262800.0,260000.0,264000.0,265000.0,262500.0,270000.0,273653.0,283618.0,291000.0,302375.0,254692.06451612903
