"cell_value","category_code","geo_level_code","data_type_code","time","Quarter"
71,"ASOLD","NE","TOTAL","1990-07","1990-Q3"
91,"FORSALE","NE","TOTAL","1990-07","1990-Q3"
6,"SOLD","NE","TOTAL","1990-07","1990-Q3"
236,"ASOLD","SO","TOTAL","1990-07","1990-Q3"
116,"FORSALE","SO","TOTAL","1990-07","1990-Q3"
20,"SOLD","SO","TOTAL","1990-07","1990-Q3"
542,"ASOLD","US","TOTAL","1990-07","1990-Q3"
111,"FORSALE","US","COMPED","1990-07","1990-Q3"
350,"FORSALE","US","TOTAL","1990-07","1990-Q3"
174,"FORSALE","US","UNDERC","1990-07","1990-Q3"
66,"FORSALE","US","NOTSTD","1990-07","1990-Q3"
5.8,"FORSALE","US","MMTHS","1990-07","1990-Q3"
7.6,"FORSALE","US","MONSUP","1990-07","1990-Q3"
7.8,"FORSALE","US","MONSUP","1990-07","1990-Q3"
350,"FORSALE","US","TOTAL","1990-07","1990-Q3"
118700,"SOLD","US","MEDIAN","1990-07","1990-Q3"
46,"SOLD","US","TOTAL","1990-07","1990-Q3"
12,"SOLD","US","NOTSTD","1990-07","1990-Q3"
18,"SOLD","US","UNDERC","1990-07","1990-Q3"
149800,"SOLD","US","AVERAG","1990-07","1990-Q3"
16,"SOLD","US","COMPED","1990-07","1990-Q3"
137,"ASOLD","WE","TOTAL","1990-07","1990-Q3"
99,"FORSALE","WE","TOTAL","1990-07","1990-Q3"
11,"SOLD","WE","TOTAL","1990-07","1990-Q3"
90,"ASOLD","MW","TOTAL","1990-08","1990-Q3"
44,"FORSALE","MW","TOTAL","1990-08","1990-Q3"
8,"SOLD","MW","TOTAL","1990-08","1990-Q3"
62,"ASOLD","NE","TOTAL","1990-08","1990-Q3"
91,"FORSALE","NE","TOTAL","1990-08","1990-Q3"
5,"SOLD","NE","TOTAL","1990-08","1990-Q3"
240,"ASOLD","SO","TOTAL","1990-08","1990-Q3"
112,"FORSALE","SO","TOTAL","1990-08","1990-Q3"
21,"SOLD","SO","TOTAL","1990-08","1990-Q3"
528,"ASOLD","US","TOTAL","1990-08","1990-Q3"
109,"FORSALE","US","COMPED","1990-08","1990-Q3"
346,"FORSALE","US","TOTAL","1990-08","1990-Q3"
170,"FORSALE","US","UNDERC","1990-08","1990-Q3"
66,"FORSALE","US","NOTSTD","1990-08","1990-Q3"
5.8,"FORSALE","US","MMTHS","1990-08","1990-Q3"
7.6,"FORSALE","US","MONSUP","1990-08","1990-Q3"
8.2,"FORSALE","US","MONSUP","1990-08","1990-Q3"
344,"FORSALE","US","TOTAL","1990-08","1990-Q3"
118400,"SOLD","US","MEDIAN","1990-08","1990-Q3"
46,"SOLD","US","TOTAL","1990-08","1990-Q3"
12,"SOLD","US","NOTSTD","1990-08","1990-Q3"
17,"SOLD","US","UNDERC","1990-08","1990-Q3"
144700,"SOLD","US","AVERAG","1990-08","1990-Q3"
17,"SOLD","US","COMPED","1990-08","1990-Q3"
137,"ASOLD","WE","TOTAL","1990-08","1990-Q3"
99,"FORSALE","WE","TOTAL","1990-08","1990-Q3"
12,"SOLD","WE","TOTAL","1990-08","1990-Q3"
42,"FORSALE","MW","TOTAL","1990-09","1990-Q3"
7,"SOLD","MW","TOTAL","1990-09","1990-Q3"
4,"SOLD","NE","TOTAL","1990-09","1990-Q3"
211,"ASOLD","SO","TOTAL","1990-09","1990-Q3"
111,"FORSALE","SO","TOTAL","1990-09","1990-Q3"
16,"SOLD","SO","TOTAL","1990-09","1990-Q3"
93,"ASOLD","MW","TOTAL","1990-09","1990-Q3"
57,"ASOLD","NE","TOTAL","1990-09","1990-Q3"
88,"FORSALE","NE","TOTAL","1990-09","1990-Q3"
496,"ASOLD","US","TOTAL","1990-09","1990-Q3"
114,"FORSALE","US","COMPED","1990-09","1990-Q3"
339,"FORSALE","US","TOTAL","1990-09","1990-Q3"
163,"FORSALE","US","UNDERC","1990-09","1990-Q3"
61,"FORSALE","US","NOTSTD","1990-09","1990-Q3"
5.6,"FORSALE","US","MMTHS","1990-09","1990-Q3"
8.8,"FORSALE","US","MONSUP","1990-09","1990-Q3"
8.4,"FORSALE","US","MONSUP","1990-09","1990-Q3"
339,"FORSALE","US","TOTAL","1990-09","1990-Q3"
38,"SOLD","US","TOTAL","1990-09","1990-Q3"
113000,"SOLD","US","MEDIAN","1990-09","1990-Q3"
10,"SOLD","US","NOTSTD","1990-09","1990-Q3"
15,"SOLD","US","UNDERC","1990-09","1990-Q3"
142100,"SOLD","US","AVERAG","1990-09","1990-Q3"
13,"SOLD","US","COMPED","1990-09","1990-Q3"
135,"ASOLD","WE","TOTAL","1990-09","1990-Q3"
97,"FORSALE","WE","TOTAL","1990-09","1990-Q3"
10,"SOLD","WE","TOTAL","1990-09","1990-Q3"
73,"ASOLD","MW","TOTAL","1990-10","1990-Q4"
43,"FORSALE","MW","TOTAL","1990-10","1990-Q4"
6,"SOLD","MW","TOTAL","1990-10","1990-Q4"
72,"ASOLD","NE","TOTAL","1990-10","1990-Q4"
84,"FORSALE","NE","TOTAL","1990-10","1990-Q4"
6,"SOLD","NE","TOTAL","1990-10","1990-Q4"
206,"ASOLD","SO","TOTAL","1990-10","1990-Q4"
110,"FORSALE","SO","TOTAL","1990-10","1990-Q4"
16,"SOLD","SO","TOTAL","1990-10","1990-Q4"
465,"ASOLD","US","TOTAL","1990-10","1990-Q4"
118,"FORSALE","US","COMPED","1990-10","1990-Q4"
336,"FORSALE","US","TOTAL","1990-10","1990-Q4"
159,"FORSALE","US","UNDERC","1990-10","1990-Q4"
59,"FORSALE","US","NOTSTD","1990-10","1990-Q4"
5.2,"FORSALE","US","MMTHS","1990-10","1990-Q4"
9.1,"FORSALE","US","MONSUP","1990-10","1990-Q4"
335,"FORSALE","US","TOTAL","1990-10","1990-Q4"
8.7,"FORSALE","US","MONSUP","1990-10","1990-Q4"
37,"SOLD","US","TOTAL","1990-10","1990-Q4"
7,"SOLD","US","NOTSTD","1990-10","1990-Q4"
13,"SOLD","US","UNDERC","1990-10","1990-Q4"
153000,"SOLD","US","AVERAG","1990-10","1990-Q4"
16,"SOLD","US","COMPED","1990-10","1990-Q4"
120000,"SOLD","US","MEDIAN","1990-10","1990-Q4"
114,"ASOLD","WE","TOTAL","1990-10","1990-Q4"
99,"FORSALE","WE","TOTAL","1990-10","1990-Q4"
9,"SOLD","WE","TOTAL","1990-10","1990-Q4"
87,"ASOLD","MW","TOTAL","1990-11","1990-Q4"
42,"FORSALE","MW","TOTAL","1990-11","1990-Q4"
6,"SOLD","MW","TOTAL","1990-11","1990-Q4"
72,"ASOLD","NE","TOTAL","1990-11","1990-Q4"
80,"FORSALE","NE","TOTAL","1990-11","1990-Q4"
6,"SOLD","NE","TOTAL","1990-11","1990-Q4"
207,"ASOLD","SO","TOTAL","1990-11","1990-Q4"
107,"FORSALE","SO","TOTAL","1990-11","1990-Q4"
14,"SOLD","SO","TOTAL","1990-11","1990-Q4"
493,"ASOLD","US","TOTAL","1990-11","1990-Q4"
328,"FORSALE","US","TOTAL","1990-11","1990-Q4"
153,"FORSALE","US","UNDERC","1990-11","1990-Q4"
57,"FORSALE","US","NOTSTD","1990-11","1990-Q4"
5.3,"FORSALE","US","MMTHS","1990-11","1990-Q4"
9.7,"FORSALE","US","MONSUP","1990-11","1990-Q4"
118,"FORSALE","US","COMPED","1990-11","1990-Q4"
328,"FORSALE","US","TOTAL","1990-11","1990-Q4"
8.2,"FORSALE","US","MONSUP","1990-11","1990-Q4"
7,"SOLD","US","NOTSTD","1990-11","1990-Q4"
12,"SOLD","US","UNDERC","1990-11","1990-Q4"
15,"SOLD","US","COMPED","1990-11","1990-Q4"
143300,"SOLD","US","AVERAG","1990-11","1990-Q4"
118900,"SOLD","US","MEDIAN","1990-11","1990-Q4"
34,"SOLD","US","TOTAL","1990-11","1990-Q4"
126,"ASOLD","WE","TOTAL","1990-11","1990-Q4"
98,"FORSALE","WE","TOTAL","1990-11","1990-Q4"
8,"SOLD","WE","TOTAL","1990-11","1990-Q4"
86,"ASOLD","MW","TOTAL","1990-12","1990-Q4"
42,"FORSALE","MW","TOTAL","1990-12","1990-Q4"
5,"SOLD","MW","TOTAL","1990-12","1990-Q4"
56,"ASOLD","NE","TOTAL","1990-12","1990-Q4"
77,"FORSALE","NE","TOTAL","1990-12","1990-Q4"
5,"SOLD","NE","TOTAL","1990-12","1990-Q4"
200,"ASOLD","SO","TOTAL","1990-12","1990-Q4"
105,"FORSALE","SO","TOTAL","1990-12","1990-Q4"
13,"SOLD","SO","TOTAL","1990-12","1990-Q4"
464,"ASOLD","US","TOTAL","1990-12","1990-Q4"
321,"FORSALE","US","TOTAL","1990-12","1990-Q4"
145,"FORSALE","US","UNDERC","1990-12","1990-Q4"
57,"FORSALE","US","NOTSTD","1990-12","1990-Q4"
5.7,"FORSALE","US","MMTHS","1990-12","1990-Q4"
10.9,"FORSALE","US","MONSUP","1990-12","1990-Q4"
119,"FORSALE","US","COMPED","1990-12","1990-Q4"
321,"FORSALE","US","TOTAL","1990-12","1990-Q4"
8.5,"FORSALE","US","MONSUP","1990-12","1990-Q4"
7,"SOLD","US","NOTSTD","1990-12","1990-Q4"
8,"SOLD","US","UNDERC","1990-12","1990-Q4"
153400,"SOLD","US","AVERAG","1990-12","1990-Q4"
14,"SOLD","US","COMPED","1990-12","1990-Q4"
29,"SOLD","US","TOTAL","1990-12","1990-Q4"
127000,"SOLD","US","MEDIAN","1990-12","1990-Q4"
121,"ASOLD","WE","TOTAL","1990-12","1990-Q4"
97,"FORSALE","WE","TOTAL","1990-12","1990-Q4"
8,"SOLD","WE","TOTAL","1990-12","1990-Q4"
61,"ASOLD","MW","TOTAL","1991-01","1991-Q1"
40,"FORSALE","MW","TOTAL","1991-01","1991-Q1"
75,"FORSALE","NE","TOTAL","1991-01","1991-Q1"
170,"ASOLD","SO","TOTAL","1991-01","1991-Q1"
105,"FORSALE","SO","TOTAL","1991-01","1991-Q1"
4,"SOLD","MW","TOTAL","1991-01","1991-Q1"
52,"ASOLD","NE","TOTAL","1991-01","1991-Q1"
3,"SOLD","NE","TOTAL","1991-01","1991-Q1"
13,"SOLD","SO","TOTAL","1991-01","1991-Q1"
401,"ASOLD","US","TOTAL","1991-01","1991-Q1"
139,"FORSALE","US","UNDERC","1991-01","1991-Q1"
315,"FORSALE","US","TOTAL","1991-01","1991-Q1"
57,"FORSALE","US","NOTSTD","1991-01","1991-Q1"
6,"FORSALE","US","MMTHS","1991-01","1991-Q1"
10.7,"FORSALE","US","MONSUP","1991-01","1991-Q1"
118,"FORSALE","US","COMPED","1991-01","1991-Q1"
315,"FORSALE","US","TOTAL","1991-01","1991-Q1"
9.4,"FORSALE","US","MONSUP","1991-01","1991-Q1"
8,"SOLD","US","NOTSTD","1991-01","1991-Q1"
9,"SOLD","US","UNDERC","1991-01","1991-Q1"
148600,"SOLD","US","AVERAG","1991-01","1991-Q1"
12,"SOLD","US","COMPED","1991-01","1991-Q1"
117900,"SOLD","US","MEDIAN","1991-01","1991-Q1"
30,"SOLD","US","TOTAL","1991-01","1991-Q1"
119,"ASOLD","WE","TOTAL","1991-01","1991-Q1"
95,"FORSALE","WE","TOTAL","1991-01","1991-Q1"
9,"SOLD","WE","TOTAL","1991-01","1991-Q1"
96,"ASOLD","MW","TOTAL","1991-02","1991-Q1"
40,"FORSALE","MW","TOTAL","1991-02","1991-Q1"
8,"SOLD","MW","TOTAL","1991-02","1991-Q1"
51,"ASOLD","NE","TOTAL","1991-02","1991-Q1"
73,"FORSALE","NE","TOTAL","1991-02","1991-Q1"
3,"SOLD","NE","TOTAL","1991-02","1991-Q1"
201,"ASOLD","SO","TOTAL","1991-02","1991-Q1"
103,"FORSALE","SO","TOTAL","1991-02","1991-Q1"
17,"SOLD","SO","TOTAL","1991-02","1991-Q1"
482,"ASOLD","US","TOTAL","1991-02","1991-Q1"
308,"FORSALE","US","TOTAL","1991-02","1991-Q1"
134,"FORSALE","US","UNDERC","1991-02","1991-Q1"
59,"FORSALE","US","NOTSTD","1991-02","1991-Q1"
6.3,"FORSALE","US","MMTHS","1991-02","1991-Q1"
7.7,"FORSALE","US","MONSUP","1991-02","1991-Q1"
115,"FORSALE","US","COMPED","1991-02","1991-Q1"
7.9,"FORSALE","US","MONSUP","1991-02","1991-Q1"
314,"FORSALE","US","TOTAL","1991-02","1991-Q1"
12,"SOLD","US","UNDERC","1991-02","1991-Q1"
147800,"SOLD","US","AVERAG","1991-02","1991-Q1"
15,"SOLD","US","COMPED","1991-02","1991-Q1"
119900,"SOLD","US","MEDIAN","1991-02","1991-Q1"
40,"SOLD","US","TOTAL","1991-02","1991-Q1"
13,"SOLD","US","NOTSTD","1991-02","1991-Q1"
134,"ASOLD","WE","TOTAL","1991-02","1991-Q1"
92,"FORSALE","WE","TOTAL","1991-02","1991-Q1"
12,"SOLD","WE","TOTAL","1991-02","1991-Q1"
99,"ASOLD","MW","TOTAL","1991-03","1991-Q1"
40,"FORSALE","MW","TOTAL","1991-03","1991-Q1"
10,"SOLD","MW","TOTAL","1991-03","1991-Q1"
50,"ASOLD","NE","TOTAL","1991-03","1991-Q1"
71,"FORSALE","NE","TOTAL","1991-03","1991-Q1"
5,"SOLD","NE","TOTAL","1991-03","1991-Q1"
212,"ASOLD","SO","TOTAL","1991-03","1991-Q1"
103,"FORSALE","SO","TOTAL","1991-03","1991-Q1"
22,"SOLD","SO","TOTAL","1991-03","1991-Q1"
507,"ASOLD","US","TOTAL","1991-03","1991-Q1"
