region,state,2018,2019,2020,label,type,USregion
"Kansas City, MO",MO,211258.33333333334,223354.16666666666,244581.25,all,sales,Midwest
"Las Vegas, NV",NV,287520.8333333333,302851.75,316461.9166666667,all,sales,West
"Columbus, OH",OH,199129,210708.33333333334,229079.16666666666,all,sales,Midwest
"Indianapolis, IN",IN,178719,193240.83333333334,216274.5,all,sales,Midwest
"San Jose, CA",CA,1089104.1666666667,1039583.3333333334,1112825.8333333333,all,sales,West
"Austin, TX",TX,307931.4166666667,317821.9166666667,346853.75,all,sales,Southwest
"Virginia Beach, VA",VA,244883.33333333334,251025,267316.6666666667,all,sales,Southeast
"Nashville, TN",TN,279013.8333333333,297642.8333333333,316085.4166666667,all,sales,Southeast
"Providence, RI",RI,269266.6666666667,286029.1666666667,315398.4166666667,all,sales,Northeast
"Milwaukee, WI",WI,204916.66666666666,204566.66666666666,216200,all,sales,Midwest
"Jacksonville, FL",FL,241442.41666666666,250256.5,265998.8333333333,all,sales,Southeast
"Memphis, TN",TN,173035.91666666666,184960.41666666666,207029.16666666666,all,sales,Southeast
"Oklahoma City, OK",OK,170525.08333333334,186770.33333333334,200875,all,sales,Southwest
"Louisville-Jefferson County, KY",KY,180609.58333333334,192235.83333333334,206537.5,all,sales,Southeast
"Hartford, CT",CT,224900,225067.08333333334,244704.16666666666,all,sales,Northeast
"Richmond, VA",VA,246417.08333333334,259303.08333333334,275970.8333333333,all,sales,Southeast
"New Orleans, LA",LA,196302.83333333334,210495.83333333334,224829.16666666666,all,sales,Southeast
"Buffalo, NY",NY,153019.66666666666,162537.5,177217.91666666666,all,sales,Northeast
"Raleigh, NC",NC,278416.6666666667,293804.1666666667,311945.8333333333,all,sales,Southeast
"Birmingham, AL",AL,194653.75,206650.66666666666,223494.33333333334,all,sales,Southeast
"Salt Lake City, UT",UT,312142.9166666667,334356.1666666667,370462.5,all,sales,West
"Rochester, NY",NY,145391.66666666666,151016.66666666666,165345.83333333334,all,sales,Northeast
"Grand Rapids, MI",MI,190912.5,207155.33333333334,226776.66666666666,all,sales,Midwest
"Tucson, AZ",AZ,209652.16666666666,225050,244908.33333333334,all,sales,Southwest
"Urban Honolulu, HI",HI,569200,588891.1666666666,614563.4166666666,all,sales,West
"Tulsa, OK",OK,164312.5,171748.83333333334,193343.08333333334,all,sales,Southwest
"Fresno, CA",CA,271791.6666666667,285354.1666666667,305583.3333333333,all,sales,West
