"cell_value","geo_level_code","data_type_code","time"
2619,"SO","OFFMAR","2001-Q3"
6122,"SO","VACANT","2001-Q3"
1372,"SO","RENT","2001-Q3"
365,"SO","RNTSLD","2001-Q3"
33223,"US","RNTOCC","2001-Q3"
10578,"US","YRVAC","2001-Q3"
1375,"US","SALE","2001-Q3"
2386,"US","OTH","2001-Q3"
104228,"US","OCC","2001-Q3"
118216,"US","TOTAL","2001-Q3"
5176,"US","OFFMAR","2001-Q3"
13988,"US","VACANT","2001-Q3"
3083,"US","RENT","2001-Q3"
944,"US","RNTSLD","2001-Q3"
3410,"US","SEASON","2001-Q3"
71004,"US","OWNOCC","2001-Q3"
1849,"US","OCCUSE","2001-Q3"
941,"US","URE","2001-Q3"
593,"WE","RENT","2001-Q3"
184,"WE","RNTSLD","2001-Q3"
663,"WE","SEASON","2001-Q3"
433,"WE","OCCUSE","2001-Q3"
132,"WE","URE","2001-Q3"
14138,"WE","OWNOCC","2001-Q3"
8255,"WE","RNTOCC","2001-Q3"
1898,"WE","YRVAC","2001-Q3"
244,"WE","SALE","2001-Q3"
313,"WE","OTH","2001-Q3"
22393,"WE","OCC","2001-Q3"
24955,"WE","TOTAL","2001-Q3"
878,"WE","OFFMAR","2001-Q3"
2562,"WE","VACANT","2001-Q3"
6487,"MW","RNTOCC","2001-Q4"
27468,"MW","TOTAL","2001-Q4"
24464,"MW","OCC","2001-Q4"
17978,"MW","OWNOCC","2001-Q4"
3004,"MW","VACANT","2001-Q4"
2207,"MW","YRVAC","2001-Q4"
797,"MW","SEASON","2001-Q4"
756,"MW","RENT","2001-Q4"
314,"MW","SALE","2001-Q4"
189,"MW","RNTSLD","2001-Q4"
948,"MW","OFFMAR","2001-Q4"
174,"MW","OCCUSE","2001-Q4"
211,"MW","URE","2001-Q4"
562,"MW","OTH","2001-Q4"
1600,"NE","YRVAC","2001-Q4"
7215,"NE","RNTOCC","2001-Q4"
22435,"NE","TOTAL","2001-Q4"
20017,"NE","OCC","2001-Q4"
12802,"NE","OWNOCC","2001-Q4"
2418,"NE","VACANT","2001-Q4"
818,"NE","SEASON","2001-Q4"
412,"NE","RENT","2001-Q4"
161,"NE","SALE","2001-Q4"
153,"NE","RNTSLD","2001-Q4"
873,"NE","OFFMAR","2001-Q4"
227,"NE","OCCUSE","2001-Q4"
246,"NE","URE","2001-Q4"
400,"NE","OTH","2001-Q4"
11251,"SO","RNTOCC","2001-Q4"
43669,"SO","TOTAL","2001-Q4"
37603,"SO","OCC","2001-Q4"
26352,"SO","OWNOCC","2001-Q4"
6066,"SO","VACANT","2001-Q4"
4932,"SO","YRVAC","2001-Q4"
1133,"SO","SEASON","2001-Q4"
1472,"SO","RENT","2001-Q4"
599,"SO","SALE","2001-Q4"
218,"SO","RNTSLD","2001-Q4"
2643,"SO","OFFMAR","2001-Q4"
1022,"SO","OCCUSE","2001-Q4"
420,"SO","URE","2001-Q4"
1201,"SO","OTH","2001-Q4"
10609,"US","YRVAC","2001-Q4"
1315,"US","SALE","2001-Q4"
2455,"US","OTH","2001-Q4"
104698,"US","OCC","2001-Q4"
118635,"US","TOTAL","2001-Q4"
5328,"US","OFFMAR","2001-Q4"
13937,"US","VACANT","2001-Q4"
3243,"US","RENT","2001-Q4"
723,"US","RNTSLD","2001-Q4"
3328,"US","SEASON","2001-Q4"
71230,"US","OWNOCC","2001-Q4"
1842,"US","OCCUSE","2001-Q4"
1030,"US","URE","2001-Q4"
33468,"US","RNTOCC","2001-Q4"
8516,"WE","RNTOCC","2001-Q4"
25064,"WE","TOTAL","2001-Q4"
22614,"WE","OCC","2001-Q4"
14098,"WE","OWNOCC","2001-Q4"
2449,"WE","VACANT","2001-Q4"
1870,"WE","YRVAC","2001-Q4"
579,"WE","SEASON","2001-Q4"
603,"WE","RENT","2001-Q4"
241,"WE","SALE","2001-Q4"
163,"WE","RNTSLD","2001-Q4"
864,"WE","OFFMAR","2001-Q4"
419,"WE","OCCUSE","2001-Q4"
153,"WE","URE","2001-Q4"
291,"WE","OTH","2001-Q4"
898,"MW","SEASON","2002-Q1"
3175,"MW","VACANT","2002-Q1"
762,"MW","RENT","2002-Q1"
204,"MW","RNTSLD","2002-Q1"
185,"MW","OCCUSE","2002-Q1"
17846,"MW","OWNOCC","2002-Q1"
206,"MW","URE","2002-Q1"
6528,"MW","RNTOCC","2002-Q1"
2277,"MW","YRVAC","2002-Q1"
320,"MW","SALE","2002-Q1"
599,"MW","OTH","2002-Q1"
24374,"MW","OCC","2002-Q1"
27549,"MW","TOTAL","2002-Q1"
991,"MW","OFFMAR","2002-Q1"
451,"NE","RENT","2002-Q1"
145,"NE","RNTSLD","2002-Q1"
888,"NE","SEASON","2002-Q1"
12733,"NE","OWNOCC","2002-Q1"
250,"NE","OCCUSE","2002-Q1"
208,"NE","URE","2002-Q1"
7220,"NE","RNTOCC","2002-Q1"
1633,"NE","YRVAC","2002-Q1"
160,"NE","SALE","2002-Q1"
419,"NE","OTH","2002-Q1"
19953,"NE","OCC","2002-Q1"
22475,"NE","TOTAL","2002-Q1"
877,"NE","OFFMAR","2002-Q1"
2521,"NE","VACANT","2002-Q1"
43863,"SO","TOTAL","2002-Q1"
37734,"SO","OCC","2002-Q1"
2625,"SO","OFFMAR","2002-Q1"
6130,"SO","VACANT","2002-Q1"
1540,"SO","RENT","2002-Q1"
267,"SO","RNTSLD","2002-Q1"
1191,"SO","SEASON","2002-Q1"
982,"SO","OCCUSE","2002-Q1"
26350,"SO","OWNOCC","2002-Q1"
467,"SO","URE","2002-Q1"
4939,"SO","YRVAC","2002-Q1"
11383,"SO","RNTOCC","2002-Q1"
508,"SO","SALE","2002-Q1"
1176,"SO","OTH","2002-Q1"
761,"US","RNTSLD","2002-Q1"
3555,"US","SEASON","2002-Q1"
71011,"US","OWNOCC","2002-Q1"
1076,"US","URE","2002-Q1"
1786,"US","OCCUSE","2002-Q1"
33707,"US","RNTOCC","2002-Q1"
10787,"US","YRVAC","2002-Q1"
1200,"US","SALE","2002-Q1"
2560,"US","OTH","2002-Q1"
104719,"US","OCC","2002-Q1"
119061,"US","TOTAL","2002-Q1"
5423,"US","OFFMAR","2002-Q1"
14342,"US","VACANT","2002-Q1"
3403,"US","RENT","2002-Q1"
213,"WE","SALE","2002-Q1"
366,"WE","OTH","2002-Q1"
22658,"WE","OCC","2002-Q1"
25174,"WE","TOTAL","2002-Q1"
930,"WE","OFFMAR","2002-Q1"
2516,"WE","VACANT","2002-Q1"
651,"WE","RENT","2002-Q1"
145,"WE","RNTSLD","2002-Q1"
578,"WE","SEASON","2002-Q1"
369,"WE","OCCUSE","2002-Q1"
194,"WE","URE","2002-Q1"
14082,"WE","OWNOCC","2002-Q1"
8576,"WE","RNTOCC","2002-Q1"
